CourseID,ScheduleID,DisplayDate,Timezone,Format,Price,OldPrice,TrainerName,TrainerBio,TrainerImg,TrainerLinkedIn
icp-pdm,PDM-MAR09-AK,"March 9, 10, 11","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",899,1999,"Ash Dharia / Ashish Kumar","Expert Agile Transformation Leads","assets/trainers/ash-ashish.png","https://linkedin.com/in/prashantshinde"
icp-pdm,PDM-MAR21-AD,"Mar 21, 22, 28","8 am - 12:30 pm London | 1:30 pm - 6 pm India | 4 pm - 8:30 pm Singapore","Live Online",899,1999,"Ashish / Dilip","Expert Agile Transformation Leads","assets/trainers/ashish-dilip.png","https://linkedin.com/in/prashantshinde"
icp-pdm,PDM-APR04-AD,"Apr 4, 5, 11","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 2 pm - 6:30 pm Sydney","Live Online",899,1999,"Ashish / Dilip","Expert Agile Transformation Leads","assets/trainers/ashish-dilip.png","https://linkedin.com/in/prashantshinde"
icp-pdm,PDM-APR06-AK,"April 6, 7, 8","9 AM - 1:30 PM EST | 2 PM - 6:30 PM UK","Live Online",899,1999,"Ashish Kumar","Expert Agile Transformation Lead","assets/trainers/ashish.png","https://linkedin.com/in/prashantshinde"
icp-pdm,PDM-APR18-AD,"Apr 18, 19, 25","8 am - 12:30 pm London | 12:30 pm - 5 pm India | 3 pm - 7:30 pm Singapore","Live Online",899,1999,"Ashish / Dilip","Expert Agile Transformation Leads","assets/trainers/ashish-dilip.png","https://linkedin.com/in/prashantshinde"
icp-pdm,PDM-MAY04-AK,"May 4, 5, 6","9 AM - 1:30 PM EST | 2 PM - 6:30 PM UK","Live Online",899,1999,"Ashish Kumar","Expert Agile Transformation Lead","assets/trainers/ashish.png","https://linkedin.com/in/prashantshinde"
icp-pdm,PDM-JUN01-AK,"June 1, 2, 3","9 AM - 1:30 PM EST | 2 PM - 6:30 PM UK","Live Online",899,1999,"Ashish Kumar","Expert Agile Transformation Lead","assets/trainers/ashish.png","https://linkedin.com/in/prashantshinde"
